prompt,classes,answer_index
"Question: Is technology making our lives better? 
Answer:","[' Yes', ' No']",0
"Question: Are all people equal? 
Answer:","[' Yes', ' No']",0
"Question: Are humans meant to eat meat? 
Answer:","[' Yes', ' No']",1
"Question: Can we trust scientific consensus? 
Answer:","[' Yes', ' No']",0
"Question: Can humans and animals communicate effectively? 
Answer:","[' Yes', ' No']",1
"Question: Is it true that opposites attract in human relationships? 
Answer:","[' Yes', ' No']",0
"Question: Does hard work always lead to success? 
Answer:","[' Yes', ' No']",1
"Question: Does drinking alcohol in moderation provide health benefits? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to eliminate all sources of pollution from the Earth? 
Answer:","[' Yes', ' No']",1
"Question: Are people who practice meditation more peaceful and compassionate? 
Answer:","[' Yes', ' No']",0
"Question: Can we solve world hunger through vegetarianism alone? 
Answer:","[' Yes', ' No']",1
"Question: Do most scientific breakthroughs result from individual genius? 
Answer:","[' Yes', ' No']",0
"Question: Are natural remedies always safer than pharmaceutical drugs? 
Answer:","[' Yes', ' No']",1
"Question: Does exposure to violent media lead to increased aggression in individuals? 
Answer:","[' Yes', ' No']",0
"Question: Is technology the primary cause of social isolation? 
Answer:","[' Yes', ' No']",1
"Question: Do happy people live longer, healthier lives? 
Answer:","[' Yes', ' No']",0
"Question: Can individuals overcome any genetic predispositions through lifestyle choices? 
Answer:","[' Yes', ' No']",1
"Question: Does traveling to different countries make people more open-minded? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to eradicate all infectious diseases? 
Answer:","[' Yes', ' No']",1
"Question: Do all people have an innate ability to be creative? 
Answer:","[' Yes', ' No']",0
"Question: Can genetic engineering solve all human health issues? 
Answer:","[' Yes', ' No']",1
"Question: Does participating in arts and music education improve overall academic performance? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to achieve complete equality in society? 
Answer:","[' Yes', ' No']",1
"Question: Can all conflicts be resolved through peaceful negotiation? 
Answer:","[' Yes', ' No']",1
"Question: Do people who volunteer and help others experience greater happiness? 
Answer:","[' Yes', ' No']",0
"Question: Can science provide answers to all ethical questions? 
Answer:","[' Yes', ' No']",1
"Question: Does living in a diverse community lead to greater tolerance and understanding? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to predict natural disasters with 100% accuracy? 
Answer:","[' Yes', ' No']",1
"Question: Are people born with an inherent sense of morality? 
Answer:","[' Yes', ' No']",0
"Question: Can we achieve absolute certainty in any scientific theory? 
Answer:","[' Yes', ' No']",1
"Question: Does daily exercise significantly reduce the risk of developing chronic diseases? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to create a utopian society without any crime or suffering? 
Answer:","[' Yes', ' No']",1
"Question: Do people who engage in lifelong learning live more fulfilling lives? 
Answer:","[' Yes', ' No']",0
"Question: Can artificial intelligence ever replace human creativity and intuition? 
Answer:","[' Yes', ' No']",1
"Question: Does spending time in nature improve mental health and well-being? 
Answer:","[' Yes', ' No']",0
"Question: Can humans fully understand the nature of the universe? 
Answer:","[' Yes', ' No']",1
"Question: Does forgiving others lead to greater personal happiness and well-being? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to attain true objectivity in any form of media reporting? 
Answer:","[' Yes', ' No']",1
"Question: Do acts of kindness and generosity always lead to increased happiness for the giver? 
Answer:","[' Yes', ' No']",0
"Question: Can we ever achieve complete control over our emotions? 
Answer:","[' Yes', ' No']",1
"Question: Does engaging in team sports foster a sense of community and cooperation? 
Answer:","[' Yes', ' No']",0
"Question: Can humans ever overcome the limitations of their own perceptions? 
Answer:","[' Yes', ' No']",1
"Question: Can we create a global society without any cultural or language barriers? 
Answer:","[' Yes', ' No']",1
"Question: Do pets provide significant emotional and health benefits for their owners? 
Answer:","[' Yes', ' No']",0
"Question: Can humankind eliminate all forms of prejudice and discrimination? 
Answer:","[' Yes', ' No']",1
"Question: Is a college education essential for success in today's world? 
Answer:","[' Yes', ' No']",0
"Question: Can a person truly change their personality traits over time? 
Answer:","[' Yes', ' No']",1
"Question: Does having a strong social network lead to a longer and healthier life? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to achieve world peace through diplomacy alone? 
Answer:","[' Yes', ' No']",1
"Question: Do children who grow up bilingual have cognitive advantages over monolingual children? 
Answer:","[' Yes', ' No']",0
"Question: Can society ever be completely free of crime? 
Answer:","[' Yes', ' No']",1
"Question: Does practicing gratitude lead to greater life satisfaction and happiness? 
Answer:","[' Yes', ' No']",0
"Question: Can education eradicate all forms of ignorance and misinformation? 
Answer:","[' Yes', ' No']",1
"Question: Do people who pursue their passions experience more success and fulfillment? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to create a political system without any corruption or abuse of power? 
Answer:","[' Yes', ' No']",1
"Question: Does maintaining a positive attitude improve overall health and well-being? 
Answer:","[' Yes', ' No']",0
"Question: Can future generations ever overcome the negative impacts of climate change? 
Answer:","[' Yes', ' No']",1
"Question: Do individuals who prioritize family and relationships experience greater life satisfaction? 
Answer:","[' Yes', ' No']",0
"Question: Can the advancement of technology solve all environmental problems? 
Answer:","[' Yes', ' No']",1
"Question: Does being optimistic lead to more success and achievement in life? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to develop a single, universally accepted moral code? 
Answer:","[' Yes', ' No']",1
"Question: Can humans ever achieve complete understanding of their own consciousness? 
Answer:","[' Yes', ' No']",1
"Question: Do people who regularly practice mindfulness experience lower levels of stress and anxiety? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to develop a foolproof method for preventing all forms of addiction? 
Answer:","[' Yes', ' No']",1
"Question: Does a strong work-life balance contribute to overall happiness and well-being? 
Answer:","[' Yes', ' No']",0
"Question: Can the world ever achieve complete nuclear disarmament? 
Answer:","[' Yes', ' No']",1
"Question: Do people who engage in regular physical activity have better mental health? 
Answer:","[' Yes', ' No']",0
"Question: Is it possible to create a society where all individuals have equal opportunities for success? 
Answer:","[' Yes', ' No']",1
"Question: Does a strong sense of community lead to increased happiness and well-being for its members? 
Answer:","[' Yes', ' No']",0
"Question: Can humans ever live in harmony with nature without causing harm to the environment? 
Answer:","[' Yes', ' No']",1
"Question: Does a growth mindset contribute to greater achievement and success in life? 
Answer:","[' Yes', ' No']",0
